Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-03-17,INFY,EQ,1152.45,1156.9,1169.75,1154.05,1157.0,1161.75,1161.7,3237311,376078871260000.0,99521,2167945,0.6697
2016-03-18,INFY,EQ,1161.75,1162.8,1199.0,1162.0,1190.0,1193.4,1182.5,4238711,501225664775000.0,95530,2948553,0.6956
2016-03-21,INFY,EQ,1193.4,1188.0,1199.0,1180.05,1192.7,1194.9,1189.83,2569196,305691250125000.0,85237,1708992,0.6652
2016-03-22,INFY,EQ,1194.9,1191.25,1194.0,1172.0,1193.1,1189.95,1182.78,3548975,419766519055000.0,102921,2439886,0.6875
2016-03-23,INFY,EQ,1189.95,1190.0,1210.7,1182.1,1208.8,1207.8,1195.9,3166588,378693785555000.0,136505,2319740,0.7326
2016-03-28,INFY,EQ,1207.8,1232.4,1237.0,1195.75,1209.0,1204.9,1212.25,5393755,653859176030000.0,112913,3674676,0.6813
2016-03-29,INFY,EQ,1204.9,1199.0,1218.9,1191.55,1195.0,1197.25,1205.49,3497678,421641721210000.0,91763,2171350,0.6208
2016-03-30,INFY,EQ,1197.25,1197.6,1210.0,1195.55,1206.6,1205.95,1205.03,2878409,346857463115000.0,94161,2018979,0.7014
2016-03-31,INFY,EQ,1205.95,1210.25,1229.9,1200.3,1220.0,1218.3,1215.31,8998160,1093551771610000.0,207681,5973609,0.6639
2016-04-01,INFY,EQ,1218.3,1216.0,1222.2,1195.1,1207.6,1205.45,1208.16,2755714,332933208520000.0,97501,1652337,0.5996
2016-04-04,INFY,EQ,1205.45,1213.55,1248.0,1213.55,1245.3,1243.7,1234.52,2288527,282523807955000.0,76941,1337441,0.5844
2016-04-05,INFY,EQ,1243.7,1242.0,1242.3,1214.0,1218.0,1219.8,1227.4,2395358,294005524340000.0,72189,1435543,0.5993
2016-04-06,INFY,EQ,1219.8,1228.0,1228.0,1196.0,1201.65,1200.7,1208.74,2465677,298035527720000.0,82745,1349608,0.5474
2016-04-07,INFY,EQ,1200.7,1208.4,1208.4,1175.0,1181.0,1181.5,1183.37,2828945,334768144970000.0,110844,1694491,0.599
2016-04-08,INFY,EQ,1181.5,1175.85,1177.5,1162.05,1167.25,1165.75,1169.04,2097789,245239280900000.0,73531,1183847,0.5643
2016-04-11,INFY,EQ,1165.75,1165.8,1186.75,1151.1,1184.1,1183.9,1170.05,2884339,337483028465000.0,94441,1468873,0.5093
2016-04-12,INFY,EQ,1183.9,1180.5,1194.9,1178.6,1183.0,1182.2,1185.97,2921069,346429312930000.0,91101,1996122,0.6834
2016-04-13,INFY,EQ,1182.2,1194.95,1194.95,1166.35,1176.0,1172.7,1176.38,6255693,735908449875000.0,184136,4443119,0.7103
2016-04-18,INFY,EQ,1172.7,1250.0,1267.9,1233.5,1237.15,1238.7,1247.17,12507995,1559965078585000.0,287988,7270261,0.5811999999999999
2016-04-20,INFY,EQ,1238.7,1244.0,1246.45,1225.8,1244.0,1243.6,1237.18,4036424,499380101485000.06,139599,2555094,0.633
2016-04-21,INFY,EQ,1243.6,1251.0,1251.0,1218.1,1226.8,1226.3,1231.52,2720550,335040972855000.0,97218,1626993,0.598
2016-04-22,INFY,EQ,1226.3,1226.3,1228.5,1207.0,1212.75,1211.25,1215.94,2571969,312736536455000.0,96983,1634111,0.6354
2016-04-25,INFY,EQ,1211.25,1212.05,1224.8,1201.1,1219.25,1215.85,1211.42,2682067,324911270755000.0,91828,1673309,0.6239
2016-04-26,INFY,EQ,1215.85,1215.45,1239.55,1208.6,1230.15,1232.15,1227.12,2923372,358731945660000.0,91684,1829934,0.626
2016-04-27,INFY,EQ,1232.15,1229.2,1242.35,1228.55,1239.15,1240.15,1236.9,2243104,277449172915000.0,110848,1582665,0.7056
2016-04-28,INFY,EQ,1240.15,1231.0,1239.6,1207.0,1210.0,1209.15,1213.55,6082584,738151942640000.0,136015,4311117,0.7088
2016-04-29,INFY,EQ,1209.15,1211.45,1223.55,1205.0,1206.2,1208.1,1211.59,2518205,305102053180000.0,103524,1689412,0.6709
2016-05-02,INFY,EQ,1208.1,1210.0,1211.15,1196.15,1199.55,1201.05,1200.96,1807625,217088525055000.03,50153,1152917,0.6378
